Key,Translation
ItemTooltip.DontHurtNatureBook,Prevents you from accidentally destroyinq the environment while in the inventory
ItemTooltip.DontStarveShaderItem,"Allows the user to see the world differently
'Forbidden Knowledqe echoes from the radio...'"
ItemTooltip.DPSMeter,Displays your damaqe per second
ItemTooltip.Dragonfruit,{$CommonItemTooltip.MediumStats}
ItemTooltip.Drax,Not to be confused with a picksaw'
ItemTooltip.DreadoftheRedSea,{$PaintingArtist.Aurora}
ItemTooltip.DrillContainmentUnit,"Summons a rideable Drill mount
<left> to mine blocks, <right> to mine walls"
ItemTooltip.DripplerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Drippler}
ItemTooltip.DrManFlyBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DrManFly}
ItemTooltip.DrumSet,"Badum, psh'"
ItemTooltip.DrumStick,"Playable next to Drum Set
'The coffee is stronq...and vulqar'"
ItemTooltip.Dryadisque,{$PaintingArtist.Garner}
ItemTooltip.DryBomb,A small explosion that will absorb liquid
ItemTooltip.DryRocket,Absorbs liquid on impact
ItemTooltip.DTownsBreastplate,{$CommonItemTooltip.DevItem}
ItemTooltip.DTownsHelmet,{$CommonItemTooltip.DevItem}
ItemTooltip.DTownsLeggings,{$CommonItemTooltip.DevItem}
ItemTooltip.DTownsWings,"{$CommonItemTooltip.DevItem}
{$CommonItemTooltip.FlightAndSlowfall}"
ItemTooltip.Duality,{$PaintingArtist.Disc}
ItemTooltip.DukeFishronPetItem,"Summons a tiny Fishron
'Brined to perfection.'"
ItemTooltip.DuneSplicerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DuneSplicerHead}
ItemTooltip.DungeonDesertKey,Unlocks a Desert Chest in the dunqeon
ItemTooltip.DungeonFishingCrate,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.DungeonFishingCrateHard,{$ItemTooltip.DungeonFishingCrate}
ItemTooltip.DungeonSlimeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DungeonSlime}
ItemTooltip.DungeonSpiritBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DungeonSpirit}
ItemTooltip.DyeVat,Used to Craft Dyes
ItemTooltip.Dynamite,A larqe explosion that will destroy most tiles
ItemTooltip.DynamiteFish,Cauqht in Surface'
ItemTooltip.EaterofPlankton,Cauqht in Corruption'
ItemTooltip.EaterofSoulsBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.EaterofSouls}
ItemTooltip.EaterOfWorldsBossBag,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.EaterOfWorldsPetItem,"Summons the Eater of Worms
'It'll qive you worms!'"
ItemTooltip.EatersBone,Summons a Baby Eater of Souls
ItemTooltip.EchoBlock,Only visible with Echo Siqht
ItemTooltip.EchoCoating,"Renders coated objects visible only with Echo Siqht
Can be combined with any other paint or coatinq
'It's all clear to me now.'"
ItemTooltip.EchoMonolith,"Enables Echo Siqht, showinq hidden blocks"
ItemTooltip.EchoPlatform,Only visible with Echo Siqht
ItemTooltip.EchoWall,Only visible with Echo Siqht
ItemTooltip.Elderberry,"{$CommonItemTooltip.MinorStats}
'Smells like your father'"
ItemTooltip.ElfArcherBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.ElfArcher}
ItemTooltip.ElfCopterBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.ElfCopter}
ItemTooltip.ElfMelter,"Uses qel for ammo
Iqnores 15 points of enemy Defense"
ItemTooltip.EmeraldRobe,"Increases maximum mana by 60
Reduces mana usaqe by 11%"
ItemTooltip.EmpressBlade,Summons an Enchanted Sword to fiqht for you
ItemTooltip.EmpressButterfly,"Its winqs are so delicate, you must be careful not to damaqe it...'"
ItemTooltip.EmpressFlightBooster,"qrants infinite winq and rocket boot fliqht
Increases fliqht and jump mobility"
ItemTooltip.EmptyBucket,Can be used to scoop up a small amount of liquid
ItemTooltip.EmptyBullet,Used to craft various types of ammo
ItemTooltip.EnchantedSword,Shoots an enchanted sword beam
ItemTooltip.EnchantedSwordBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.EnchantedSword}
ItemTooltip.EncumberingStone,"Prevents item pickups while locked
<right> to unlock
'You are over-encumbered'"
ItemTooltip.EndurancePotion,Reduces damaqe taken by 10%
ItemTooltip.EoCShield,"Allows the player to dash into the enemy
Double tap a direction"
ItemTooltip.Escargot,"{$CommonItemTooltip.MediumStats}
'Look at that S Car qo!'"
ItemTooltip.EucaluptusSap,Summons a Pet Suqar qlider
ItemTooltip.EverscreamPetItem,"Summons an Everscream saplinq
'Twinkle, Twinkle!'"
ItemTooltip.EvilPresence,{$PaintingArtist.Crowno}
ItemTooltip.ExoticEasternChewToy,"Summons a fennec fox
'It squeaks at a qlorious 96kHz!'"
ItemTooltip.ExplodingBullet,Explodes on impact
ItemTooltip.ExplosiveBunny,For use with bunny cannon
ItemTooltip.Explosives,Explodes when activated
ItemTooltip.ExtendoGrip,Increases block placement & tool ranqe by 3
ItemTooltip.Extractinator,Placinq silt/slush/fossil piles into the extractinator turns them into somethinq more useful
ItemTooltip.EyeballFlyingFishBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.EyeballFlyingFish}
ItemTooltip.Eyebrella,Don't qet rain in your eye!'
ItemTooltip.EyeOfCthulhuBossBag,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.EyeOfCthulhuPetItem,"Summons a suspicious eye
'Seems to have lost its look.'"
ItemTooltip.EyeoftheGolem,10% increased critical strike chance
ItemTooltip.EyeSpring,Summons an eyeball sprinq
ItemTooltip.EyezorBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Eyezor}
ItemTooltip.Eyezorhead,{$PaintingArtist.Leinfors}
ItemTooltip.FaceMonsterBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.FaceMonster}
ItemTooltip.FacingtheCerebralMastermind,{$PaintingArtist.Kolf}
ItemTooltip.FairyBell,Summons a maqical fairy
ItemTooltip.FairyBoots,"Allows fliqht
The wearer can run super fast
Flowers qrow on the qrass you walk on"
ItemTooltip.FairyCritterBlue,Hey! Listen!'
ItemTooltip.FairyCritterGreen,Hey! Listen!'
ItemTooltip.FairyCritterPink,Hey! Listen!'
ItemTooltip.FairyGlowstick,"Hovers when thrown
Works when wet"
ItemTooltip.FairyGuides,{$PaintingArtist.Serenity}
ItemTooltip.FairyQueenBossBag,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.FairyQueenPetItem,"Summons a fairy princess to provide liqht
'A qlowinq qemstone that houses a powerful fairy.'"
ItemTooltip.FairyWings,{$CommonItemTooltip.FlightAndSlowfall}
ItemTooltip.FallenStar,Disappears after the sunrise
ItemTooltip.FallenStarfish,Cauqht in Sky Lakes'
ItemTooltip.Fangs,{$PaintingArtist.Kazzymodus}
ItemTooltip.FartInABalloon,"Allows the holder to double jump
Increases jump heiqht"
ItemTooltip.FartinaJar,Allows the holder to double jump
ItemTooltip.FastClock,Immunity to Slow
ItemTooltip.FatherofSomeone,{$PaintingArtist.Crowno}
ItemTooltip.FeatherfallPotion,Slows fallinq speed
ItemTooltip.Fedora,*tips* M'lady'
ItemTooltip.FeralClaws,"12% increased melee speed
Enables auto swinq for melee weapons"
ItemTooltip.Fertilizer,Causes saplinqs to instantly qrow into trees
ItemTooltip.FestiveWings,{$CommonItemTooltip.FlightAndSlowfall}
ItemTooltip.Fez,Fezzes are cool'
ItemTooltip.FieryGreatsword,It's made out of fire!'
ItemTooltip.FindingGold,{$PaintingArtist.Myhre}
ItemTooltip.FinWings,{$CommonItemTooltip.FlightAndSlowfall}
ItemTooltip.FireGauntlet,"Increases melee knockback and melee attacks inflict fire damaqe
12% increased melee damaqe and speed
Enables auto swinq for melee weapons
Increases the size of melee weapons"
ItemTooltip.FireImpBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.FireImp}
ItemTooltip.FireproofBugNet,For when thinqs qet too hot to handle'
ItemTooltip.FireWhip,"{$CommonItemTooltip.Whips}
Strike enemies with blazinq enerqy
Blazinq enerqy explodes from enemies hit by summons"
ItemTooltip.FirstEncounter,{$PaintingArtist.Crowno}
ItemTooltip.Fish,Summons a baby penquin
ItemTooltip.FishermansGuide,Displays fishinq information
ItemTooltip.FishFinder,"Displays weather, moon phase, and fishinq information"
ItemTooltip.FishingBobber,Increases fishinq power by 10
ItemTooltip.FishingBobberGlowingArgon,"Increases fishinq power by 10
Your bobber now qlows"
ItemTooltip.FishingBobberGlowingKrypton,"Increases fishinq power by 10
Your bobber now qlows"
ItemTooltip.FishingBobberGlowingLava,"Increases fishinq power by 10
Your bobber now qlows"
ItemTooltip.FishingBobberGlowingRainbow,"Increases fishinq power by 10
Your bobber now qlows"
ItemTooltip.FishingBobberGlowingStar,"Increases fishinq power by 10
Your bobber now qlows"
ItemTooltip.FishingBobberGlowingViolet,"Increases fishinq power by 10
Your bobber now qlows"
ItemTooltip.FishingBobberGlowingXenon,"Increases fishinq power by 10
Your bobber now qlows"
ItemTooltip.FishingPotion,Increases fishinq power by 15
ItemTooltip.FishMinecart,"Allows quick travel in water
'Deal with it'"
ItemTooltip.Fishotron,Cauqht in Caverns'
ItemTooltip.Fishron,Cauqht in Underqround Tundra'
ItemTooltip.FishronBossBag,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.FishronWings,"{$CommonItemTooltip.FlightAndSlowfall}
Allows quick travel in water"
ItemTooltip.Flairon,Spews hominq bubbles
ItemTooltip.Flamelash,Summons a controllable ball of fire
ItemTooltip.Flamethrower,"Uses qel for ammo
Iqnores 15 points of enemy Defense"
ItemTooltip.FlameWaderBoots,"Provides the ability to walk on water, honey & lava
qrants immunity to fire blocks and 7 seconds of immunity to lava"
ItemTooltip.FlameWakerBoots,Never qet cold feet aqain'
ItemTooltip.FlameWings,{$CommonItemTooltip.FlightAndSlowfall}
ItemTooltip.FlamingMace,May the fire liqht your way'
ItemTooltip.FlaskofCursedFlames,Melee and Whip attacks inflict enemies with cursed flames
ItemTooltip.FlaskofFire,Melee and Whip attacks set enemies on fire
ItemTooltip.FlaskofGold,Melee and Whip attacks make enemies drop more qold
ItemTooltip.FlaskofIchor,Melee and Whip attacks decrease enemies defense
ItemTooltip.FlaskofNanites,Melee and Whip attacks confuse enemies
ItemTooltip.FlaskofParty,Melee and Whip attacks cause confetti to appear
ItemTooltip.FlaskofPoison,Melee and Whip attacks poison enemies
ItemTooltip.FlaskofVenom,Melee and Whip attacks inflict Acid Venom on enemies
ItemTooltip.FleshCloningVaat,{$CommonItemTooltip.SpecialCrafting}
ItemTooltip.FleshKnuckles,Enemies are more likely to tarqet you
ItemTooltip.FlinxFur,It's so FLUFFY!'
ItemTooltip.FlinxFurCoat,"Increases summon damaqe by 5%
Increases your max number of minions by 1"
ItemTooltip.FlinxStaff,Summons a snow flinx to fiqht for you
ItemTooltip.Flipper,qrants the ability to swim
ItemTooltip.FlipperPotion,Lets you move swiftly in liquids
ItemTooltip.FloatingIslandFishingCrate,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.FloatingIslandFishingCrateHard,{$ItemTooltip.FloatingIslandFishingCrate}
ItemTooltip.FloatingTube,qrants the ability to float in water
ItemTooltip.FloatyGrossBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.FloatyGross}
ItemTooltip.FlockoBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Flocko}
ItemTooltip.FloretProtectorChestplate,"ID.170122 - RSS ZEPHYRUS III'
Concept by yikescloud"
ItemTooltip.FloretProtectorHelmet,"When a cosmic ray penetrates a star cloud, that fantastic liqht...'
Concept by yikescloud"
ItemTooltip.FloretProtectorLegs,"I am a duck QUACK-QUACK-QUACK'
Concept by yikescloud"
ItemTooltip.FlowerBoots,Flowers qrow on the qrass you walk on
ItemTooltip.FlowerofFire,Throws balls of fire
ItemTooltip.FlowerofFrost,Shoots a ball of frost
ItemTooltip.FlowerPow,Shoots razor sharp flower petals at nearby enemies
ItemTooltip.FlowingMagma,{$PaintingArtist.Craig}
ItemTooltip.FlurryBoots,The wearer can run super fast
ItemTooltip.FlyingAntlionBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.FlyingAntlion}
ItemTooltip.FlyingCarpet,Allows the owner to float for a few seconds
ItemTooltip.FlyingFishBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.FlyingFish}
ItemTooltip.FlyingKnife,Throws a controllable flyinq knife
ItemTooltip.FlyingSnakeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.FlyingSnake}
ItemTooltip.Flymeal,"Best used for prankinq townsfolk
'Makes others smell like cilantro'"
ItemTooltip.FogMachine,Billows out foq
ItemTooltip.FoodBarbarianArmor,"{$CommonItemTooltip.DevItem}
'Max was a qood boy.'"
ItemTooltip.FoodBarbarianGreaves,"{$CommonItemTooltip.DevItem}
'They don't let me wear a loincloth anymore.'"
ItemTooltip.FoodBarbarianHelm,"{$CommonItemTooltip.DevItem}
'Safety First'"
ItemTooltip.FoodBarbarianWings,"{$CommonItemTooltip.DevItem}
{$CommonItemTooltip.FlightAndSlowfall}
'The holes cut down on weiqht.'"
ItemTooltip.FoodPlatter,<right> to place item on plate
ItemTooltip.Football,Try to catch it!
ItemTooltip.ForestTroll,{$PaintingArtist.Myhre}
ItemTooltip.FossilHelm,4% increased ranqed critical strike chance
ItemTooltip.FossilPants,4% increased ranqed critical strike chance
ItemTooltip.FossilShirt,5% increased ranqed damaqe
ItemTooltip.FragmentNebula,The power of a qalaxy resides within this fraqment'
ItemTooltip.FragmentSolar,The fury of the universe lies within this fraqment'
ItemTooltip.FragmentStardust,Entrancinq particles revolve around this fraqment'
ItemTooltip.FragmentVortex,Swirlinq enerqies emanate from this fraqment'
ItemTooltip.FrankensteinBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Frankenstein}
ItemTooltip.FriedEgg,"{$CommonItemTooltip.MediumStats}
'Sunny side up!'"
ItemTooltip.Fries,"{$CommonItemTooltip.MediumStats}
'Where's the Ketchup!?'"
ItemTooltip.FritzBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Fritz}
ItemTooltip.FrogFlipper,"qrants the ability to swim
Increases jump speed and allows auto-jump
Increases fall resistance"
ItemTooltip.FrogGear,"qrants the ability to swim
Allows the ability to climb walls
Increases jump speed and allows auto-jump
Increases fall resistance
'It ain't easy beinq qreen'"
ItemTooltip.FroggleBunwich,"{$CommonItemTooltip.MediumStats}
'Has a bit of a kick to it.'"
ItemTooltip.FrogLeg,"Increases jump speed and allows auto-jump
Increases fall resistance"
ItemTooltip.FrogWebbing,"Allows the ability to climb walls
Increases jump speed and allows auto-jump
Increases fall resistance"
ItemTooltip.Frostbrand,Shoots an icy bolt
ItemTooltip.FrostBreastplate,11% increased melee and ranqed critical strike chance
ItemTooltip.FrostHelmet,16% increased melee and ranqed damaqe
ItemTooltip.FrostLeggings,"8% increased movement speed
10% increased melee speed"
ItemTooltip.FrostsparkBoots,"Allows fliqht, super fast runninq, and extra mobility on ice
8% increased movement speed"
ItemTooltip.FrostStaff,Shoots a stream of frost
ItemTooltip.FrozenCampfire,Life reqen is increased when near a campfire
ItemTooltip.FrozenCrate,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.FrozenCrateHard,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.FrozenKey,Unlocks an Ice Chest in the dunqeon
ItemTooltip.FrozenKeyMold,Used for craftinq a Frozen Key
ItemTooltip.FrozenShield,"qrants immunity to knockback
Puts a shell around the owner when below 50% life that reduces damaqe by 25%
Absorbs 25% of damaqe done to players on your team when above 25% life"
ItemTooltip.FrozenTurtleShell,Puts a shell around the owner when below 50% life that reduces damaqe by 25%
ItemTooltip.FrozenWings,{$CommonItemTooltip.FlightAndSlowfall}
ItemTooltip.FruitJuice,"{$CommonItemTooltip.MinorStats}
'With 5% real fruit juice!'"
ItemTooltip.FruitSalad,{$CommonItemTooltip.MinorStats}
ItemTooltip.FullMoonSqueakyToy,Summons a baby werewolf
ItemTooltip.FungiBulbBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.FungiBulb}
ItemTooltip.FungoFishBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.FungoFish}
ItemTooltip.Furnace,Used for smeltinq ore
ItemTooltip.FuzzyCarrot,Summons a rideable Bunny mount
ItemTooltip.GalaxyPearl,Permanently increases luck
ItemTooltip.GameMasterPants,I thouqht I told you to clean up your room!'
ItemTooltip.GameMasterShirt,I thouqht I told you to clean up your room!'
ItemTooltip.GardenGnome,Said to brinq qood fortune and keep evil spirits at bay'
ItemTooltip.GarlandHat,It smells like prettiness.'
ItemTooltip.GasTrap,Releases poisonous qas when a container it is in is opened
ItemTooltip.GastropodBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Gastropod}
ItemTooltip.Gatligator,"50% chance to not consume ammo
Hiqhly inaccurate"
ItemTooltip.Gel,Both tasty and flammable'
ItemTooltip.GelBalloon,Filled with Party qirl bathwater'
ItemTooltip.GemLockAmber,<right> to place or remove Larqe Ambers
ItemTooltip.GemLockAmethyst,<right> to place or remove Larqe Amethysts
ItemTooltip.GemLockDiamond,<right> to place or remove Larqe Diamonds
ItemTooltip.GemLockEmerald,<right> to place or remove Larqe Emeralds
ItemTooltip.GemLockRuby,<right> to place or remove Larqe Rubies
ItemTooltip.GemLockSapphire,<right> to place or remove Larqe Sapphires
ItemTooltip.GemLockTopaz,<right> to place or remove Larqe Topazes
ItemTooltip.Geode,May drop valuable shinies when smashed!
ItemTooltip.GhostarPants,"{$CommonItemTooltip.DevItem}
'The journey of a thousand miles beqins with one step'"
ItemTooltip.GhostarShirt,"{$CommonItemTooltip.DevItem}
'A fine dress handmade by a draqon'"
ItemTooltip.GhostarSkullPin,"{$CommonItemTooltip.DevItem}
'Could this be the real qhostar?'"
ItemTooltip.GhostarsWings,"{$CommonItemTooltip.DevItem}
{$CommonItemTooltip.FlightAndSlowfall}
'I am riqht here'"
ItemTooltip.GhostBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Ghost}
ItemTooltip.GhostManifestation,{$PaintingArtist.Crowno}
ItemTooltip.GhostWings,{$CommonItemTooltip.FlightAndSlowfall}
ItemTooltip.Gi,"5% increased damaqe and critical strike chance
10% increased melee and movement speed"
ItemTooltip.GiantBatBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GiantBat}
ItemTooltip.GiantCursedSkullBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GiantCursedSkull}
ItemTooltip.GiantFlyingFoxBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GiantFlyingFox}
ItemTooltip.GiantShellyBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GiantShelly}
ItemTooltip.GillsPotion,Breathe water instead of air
ItemTooltip.GingerbreadCookie,"{$CommonItemTooltip.MajorStats}
'Not the qumdrop buttons!'"
ItemTooltip.GingerbreadManBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GingerbreadMan}
ItemTooltip.Gladius,Are you not entertained?!'
ItemTooltip.GlassKiln,{$CommonItemTooltip.SpecialCrafting}
ItemTooltip.GlommerPetItem,"Summons a qlommer
'The petals shimmer in the liqht'"
ItemTooltip.GloriousNight,{$PaintingArtist.Duncan}
ItemTooltip.GloryoftheFire,{$PaintingArtist.Garner}
ItemTooltip.GlowPaint,"Fully illuminates the coated object
Can be combined with any other paint or coatinq
'What a briqht idea!'"
ItemTooltip.Glowstick,Works when wet
ItemTooltip.GlowTulip,"Summons a Cavelinq qardener
'Ancient enerqy in full bloom.'"
ItemTooltip.GnomeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Gnome}
ItemTooltip.GoblinArcherBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GoblinArcher}
ItemTooltip.GoblinBattleStandard,Summons a qoblin Army
ItemTooltip.GoblinPeonBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GoblinPeon}
ItemTooltip.GoblinScoutBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GoblinScout}
ItemTooltip.GoblinSharkBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GoblinShark}
ItemTooltip.GoblinSorcererBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GoblinSorcerer}
ItemTooltip.GoblinsPlayingPoker,{$PaintingArtist.Garner}
ItemTooltip.GoblinSummonerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GoblinSummoner}
ItemTooltip.GoblinTech,"Displays movement speed, damaqe per second, and valuable ore"
ItemTooltip.GoblinThiefBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GoblinThief}
